nace_r2,sizeclas,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
B-S,GE10,AVG_A,IE	1.0 p	1.1 	1.0 	0.9 	0.8 	0.7 	0.6 	0.6 	0.5 	0.4 	0.7 
B-S,GE10,AVG_A,IT	1.1 p	1.0 p	0.7 p	0.6 p	0.5 p	0.4 p	0.5 p	0.8 p	0.7 p	0.5 	0.9 
B-S,GE10,AVG_A,LT	1.6 	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 	0.9 	0.6 	0.5 	1.7 
B-S,GE10,AVG_A,LU	1.7 	1.5 	1.4 	1.2 	0.9 	0.7 	0.7 	0.8 	0.5 	0.4 	0.6 
B-S,GE10,AVG_A,LV	2.6 	2.2 	1.9 	1.7 	1.7 	1.9 	1.6 	1.5 	1.0 	1.0 	1.7 
B-S,GE10,AVG_A,MT	1.9 b	1.7 b	3.1 p	2.8 b	2.5 p	2.1 u	3.5 u	2.9 u	3.6 p	1.8 	: 
B-S,GE10,AVG_A,NO	2.4 	2.1 	1.9 	2.0 	2.3 	2.4 	2.6 	2.8 	2.5 	: 	: 
B-S,GE10,AVG_A,PL	1.0 	0.8 	0.6 	0.5 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	1.1 
B-S,GE10,AVG_A,PT	0.9 	0.9 	0.7 	0.6 	0.6 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
B-S,GE10,AVG_A,RO	1.3 	1.3 	1.4 	1.2 	1.0 	0.8 	0.6 	0.7 	0.6 	0.9 	: c
B-S,GE10,AVG_A,SE	2.4 	2.3 	2.1 	1.8 	1.5 	1.4 	1.4 	1.4 	1.1 	0.7 	: c
B-S,GE10,AVG_A,SI	2.0 	1.7 	1.2 	0.9 b	0.9 	0.7 	0.6 	0.7 	0.5 	0.5 	0.9 
B-S,GE10,AVG_A,SK	1.2 	1.1 	1.1 	1.0 	1.0 	1.0 	0.9 	0.9 	0.8 	1.0 	1.5 
B-S,TOTAL,AVG_3Y,AT	2.4 	2.0 	1.8 	1.7 	1.8 	1.9 	1.9 	1.8 	: 	: 	: 
B-S,TOTAL,AVG_3Y,BE	3.2 	2.9 	2.5 b	2.3 b	2.3 b	2.2 	1.9 	: 	: 	: 	: 
B-S,TOTAL,AVG_3Y,BG	0.9 p	0.8 p	0.8 	0.7 	0.7 	0.7 	0.7 	0.7 	0.8 	0.9 	0.9 
B-S,TOTAL,AVG_3Y,CH	1.2 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.4 	1.4 
B-S,TOTAL,AVG_3Y,CY	1.2 	1.0 	0.9 	0.7 	0.6 	0.7 	1.1 	1.7 	2.7 	3.7 	3.4 
B-S,TOTAL,AVG_3Y,CZ	4.1 	3.0 	2.1 	1.5 	1.1 	0.9 	0.9 	1.0 	1.7 	: c	2.7 
B-S,TOTAL,AVG_3Y,DE	2.7 	2.5 	2.4 	2.3 	2.2 	2.2 	2.0 	1.8 	1.4 	1.3 	1.2 
B-S,TOTAL,AVG_3Y,EA	1.9 e	1.7 e	1.5 e	1.5 e	1.4 e	1.4 e	1.4 e	1.3 e	1.2 e	1.2 	1.2 
B-S,TOTAL,AVG_3Y,EA19	1.9 e	1.7 e	1.5 e	1.4 e	1.4 e	1.4 e	1.4 e	1.3 e	1.2 e	1.2 	1.2 
B-S,TOTAL,AVG_3Y,EE	1.9 	1.8 	1.5 	1.4 	1.4 	1.4 	1.3 	1.1 	1.5 	2.2 	2.9 
B-S,TOTAL,AVG_3Y,EL	0.6 	0.6 	0.7 	: c	: c	: c	0.9 	1.3 	: c	: c	: c
B-S,TOTAL,AVG_3Y,ES	0.8 p	0.7 	0.7 	0.7 b	0.7 b	0.8 b	1.0 	1.0 	0.8 	0.7 	0.7 
B-S,TOTAL,AVG_3Y,EU	2.0 	1.8 	1.6 	1.5 	1.4 	1.4 	1.3 	1.3 	1.3 	1.4 	1.5 
B-S,TOTAL,AVG_3Y,EU27	2.0 	1.8 	1.6 	1.5 	1.4 	1.4 	1.3 	1.3 	1.3 	1.4 	1.5 
B-S,TOTAL,AVG_3Y,EU28	2.0 	1.8 	1.6 	1.5 	1.4 	1.4 	1.3 	: 	: 	: 	: 
B-S,TOTAL,AVG_3Y,FI	1.9 	1.6 	1.4 	1.3 b	1.6 b	1.9 b	2.1 	1.8 	1.9 	2.1 	2.4 
B-S,TOTAL,AVG_3Y,HR	1.7 b	1.5 b	1.2 b	0.9 	0.9 	: 	: 	: 	: 	: 	: 
B-S,TOTAL,AVG_3Y,HU	2.3 p	1.9 	1.6 	1.4 	1.2 	1.1 	1.1 	1.0 	1.1 	1.2 	1.3 
B-S,TOTAL,AVG_3Y,IE	1.0 p	1.0 	0.9 	0.8 	0.7 	0.6 	0.5 	0.5 	0.5 	: 	: 
B-S,TOTAL,AVG_3Y,LT	1.4 	1.3 	1.1 	1.0 	0.9 	0.9 	0.8 	0.7 	0.9 	1.4 	1.8 
B-S,TOTAL,AVG_3Y,LU	1.5 	1.4 	1.2 	1.0 	0.8 	0.8 	0.7 	0.6 	0.5 	0.6 	0.7 
B-S,TOTAL,AVG_3Y,LV	2.0 	1.7 	1.5 	1.5 	1.4 	1.4 	1.2 	1.0 	1.1 	1.5 	1.8 
B-S,TOTAL,AVG_3Y,MK	1.5 	1.4 	1.4 	1.4 	1.3 	: 	: 	: 	: 	: 	: 
B-S,TOTAL,AVG_3Y,NL	2.5 p	2.1 p	1.7 p	1.4 p	1.3 	1.4 	1.5 	1.6 	2.0 	2.5 	2.9 
B-S,TOTAL,AVG_3Y,NO	2.1 	2.0 	2.1 	2.2 	2.4 	2.6 	2.7 	2.6 	: 	: 	: 
B-S,TOTAL,AVG_3Y,PL	1.0 	0.8 	0.6 	0.5 	0.4 	0.5 	0.5 	0.6 	0.9 	1.4 	: 
B-S,TOTAL,AVG_3Y,PT	0.8 	0.7 	0.7 	0.5 	0.5 	0.4 	0.4 	0.4 	0.5 	0.5 	0.6 
B-S,TOTAL,AVG_3Y,RO	1.3 	1.2 	1.1 	0.9 	0.7 	0.7 	0.6 	0.7 	1.1 	1.7 	2.0 
B-S,TOTAL,AVG_3Y,SE	2.3 	2.1 	1.9 	1.6 	1.5 	1.5 	1.4 	1.2 	: c	: c	: c
B-S,TOTAL,AVG_3Y,SI	2.1 	1.8 b	1.4 b	1.1 b	0.9 	0.8 	0.8 	0.7 	0.8 	: c	: c
B-S,TOTAL,AVG_3Y,SK	1.1 	1.0 	1.0 	0.9 	0.8 	0.8 	0.8 	0.8 	1.0 	1.1 	1.1 
B-S,TOTAL,AVG_3Y,UK	2.6 p	2.5 	2.4 	2.2 	2.0 	1.8 	1.7 	1.7 	1.8 	2.0 	2.2 
B-S,TOTAL,AVG_A,AT	2.9 	2.4 	1.9 	1.8 	1.7 	1.7 	1.9 	2.0 	1.9 	1.5 	: 
B-S,TOTAL,AVG_A,BE	3.5 	3.4 	2.8 	2.4 	2.2 b	2.4 b	2.4 b	1.8 	1.5 	: 	: 
B-S,TOTAL,AVG_A,BG	0.9 p	0.9 p	0.9 	0.8 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.9 
B-S,TOTAL,AVG_A,CH	1.4 	1.2 	1.1 	1.1 	1.2 	1.2 	1.1 	1.3 	1.2 	1.0 	1.5 
B-S,TOTAL,AVG_A,CY	1.4 	1.1 	1.0 	0.9 	0.7 	0.4 	0.6 	1.1 	1.6 	2.5 	4.0 
B-S,TOTAL,AVG_A,CZ	5.5 	3.8 	2.9 	2.2 	1.3 	0.9 	1.0 	0.9 	0.8 	1.1 	3.2 
B-S,TOTAL,AVG_A,DE	3.1 	2.7 	2.4 	2.4 	2.3 	2.1 	2.2 	2.3 	1.6 	1.5 	1.3 
B-S,TOTAL,AVG_A,EA	2.1 e	1.9 e	1.7 e	1.5 e	1.4 e	1.4 e	1.4 e	1.5 e	1.2 e	1.1 e	1.2 e
B-S,TOTAL,AVG_A,EA19	2.1 e	1.9 e	1.7 e	1.5 e	1.4 e	1.4 e	1.4 e	1.5 e	1.2 e	1.1 e	1.2 e
B-S,TOTAL,AVG_A,EE	1.9 	2.1 	1.7 	1.5 	1.4 	1.4 	1.4 	1.3 	1.0 	0.9 	2.5 
B-S,TOTAL,AVG_A,EL	0.6 	0.6 	0.7 	0.6 	0.9 	: c	0.7 	0.9 	1.1 	1.7 	: c
B-S,TOTAL,AVG_A,ES	0.9 p	0.8 	0.7 	0.7 	0.6 	0.8 b	0.8 	1.0 	1.2 	0.6 	0.6 
B-S,TOTAL,AVG_A,EU	2.2 	2.0 	1.8 	1.6 	1.5 	1.4 	1.4 	1.4 	1.2 	1.2 	1.5 
B-S,TOTAL,AVG_A,EU27	2.2 	2.0 	1.8 	1.6 	1.5 	1.4 	1.4 	1.4 	1.2 	1.2 	1.5 
B-S,TOTAL,AVG_A,EU28	2.2 	2.0 	1.8 	1.6 	1.5 	1.4 	1.4 	1.4 	1.2 	: 	: 
B-S,TOTAL,AVG_A,FI	2.2 	1.9 	1.6 	1.3 	1.3 	1.3 b	2.2 	2.1 	1.9 	1.6 	2.3 
B-S,TOTAL,AVG_A,HR	1.7 	1.7 	1.6 b	1.1 	0.9 	0.8 	1.0 	: 	: 	: 	: 
B-S,TOTAL,AVG_A,HU	2.7 p	2.3 	1.9 	1.6 	1.4 	1.3 	1.0 	1.1 	1.0 	0.9 	1.3 
B-S,TOTAL,AVG_A,IE	1.0 p	1.0 	1.0 	0.9 	0.7 	0.7 	0.6 	0.5 	0.5 	0.4 	0.8 
B-S,TOTAL,AVG_A,LT	1.5 	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 	0.9 	0.6 	0.5 	1.7 
B-S,TOTAL,AVG_A,LU	1.7 	1.5 	1.4 	1.2 	0.9 	0.7 	0.8 	0.8 	0.6 	0.4 	0.6 
B-S,TOTAL,AVG_A,LV	2.5 	1.9 	1.6 	1.5 	1.4 	1.6 	1.4 	1.3 	0.9 	0.9 	1.6 
B-S,TOTAL,AVG_A,MK	1.6 	1.5 	1.3 	1.5 	1.5 	1.2 	1.4 	: 	: 	: 	: 
B-S,TOTAL,AVG_A,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.2 	: 
B-S,TOTAL,AVG_A,NL	3.0 p	2.5 p	2.0 p	1.7 p	1.4 	1.2 	1.4 	1.6 	1.5 	1.7 	2.9 
B-S,TOTAL,AVG_A,NO	2.4 	2.1 	1.9 	2.0 	2.3 	2.5 	2.6 	2.8 	2.6 	2.5 	: 
B-S,TOTAL,AVG_A,PL	1.2 	1.0 	0.8 	0.6 	0.5 	0.4 	0.4 	0.6 	0.6 	0.6 	1.5 
B-S,TOTAL,AVG_A,PT	0.9 	0.9 	0.7 	0.6 	0.6 	0.4 	0.4 	0.4 	0.4 	0.4 	0.6 
B-S,TOTAL,AVG_A,RO	1.3 	1.3 	1.3 	1.1 	0.9 	0.7 	0.6 	0.6 	0.6 	0.9 	2.0 
B-S,TOTAL,AVG_A,SE	2.5 	2.3 	2.1 	1.9 	1.6 	1.5 	1.5 	1.5 	1.2 	0.8 	: c
B-S,TOTAL,AVG_A,SI	2.5 	2.2 	1.7 	1.3 b	1.2 	0.8 	0.8 	0.8 	0.7 	0.7 	1.0 
B-S,TOTAL,AVG_A,SK	1.2 	1.1 	1.0 	0.9 	0.9 	0.8 	0.8 	0.8 	0.8 	1.0 	1.3 
B-S,TOTAL,AVG_A,UK	2.7 p	2.6 	2.5 	2.5 	2.3 	1.9 	1.7 	1.7 	1.7 	1.6 	2.2 
C,GE10,AVG_3Y,BE	2.3 	1.9 	1.6 	1.4 	1.4 	: 	: 	: 	: 	: 	: 
C,GE10,AVG_3Y,BG	0.6 p	0.7 p	0.6 	0.6 	0.5 	0.5 	0.6 	0.6 	: 	: 	: 
C,GE10,AVG_3Y,CY	1.5 	1.1 	0.8 	0.7 	0.7 	0.8 	1.4 	2.7 	: 	: 	: 
C,GE10,AVG_3Y,CZ	3.8 	2.7 	1.7 	1.1 	0.7 	0.7 	0.7 	0.8 	1.8 	: 	: 
C,GE10,AVG_3Y,DE	1.6 	1.3 	1.2 	1.1 	1.1 	1.2 	: 	: 	: 	: 	: 
C,GE10,AVG_3Y,DK	1.4 p	1.2 	1.1 	1.0 	1.0 	1.0 	0.9 	: 	: 	: 	: 
C,GE10,AVG_3Y,EE	1.6 	1.5 	1.3 	1.4 	1.4 	1.3 	1.0 	0.7 	1.2 	: 	: 
C,GE10,AVG_3Y,EL	0.4 	0.5 	0.5 	: 	: 	: 	0.4 	0.7 	: 	: 	: 
C,GE10,AVG_3Y,ES	0.3 p	0.3 	0.2 	0.2 b	0.2 b	0.3 b	0.3 	0.3 	: 	: 	: 
C,GE10,AVG_3Y,FI	1.8 	1.6 	1.3 	1.1 b	1.3 b	1.3 b	1.4 	1.1 	: 	: 	: 
C,GE10,AVG_3Y,FR	1.0 	0.8 	0.6 	0.5 	0.5 	0.5 	0.5 	0.4 	0.3 	0.4 	0.5 
C,GE10,AVG_3Y,HR	1.3 b	1.0 b	0.8 b	0.5 	0.5 	0.4 	0.4 	: 	: 	: 	: 
C,GE10,AVG_3Y,HU	2.9 p	2.4 	2.0 	1.6 	1.3 	1.2 	1.2 	1.0 	1.1 	1.3 	1.5 
C,GE10,AVG_3Y,IE	0.7 p	0.6 	0.6 	0.6 	0.6 	0.6 	0.5 	0.4 	0.4 	: 	: 
C,GE10,AVG_3Y,IT	0.8 p	0.7 p	0.6 p	0.5 p	0.4 p	0.5 p	0.5 p	0.5 p	0.5 p	0.7 p	0.8 p
C,GE10,AVG_3Y,LT	1.7 	1.5 	1.3 	1.3 	1.3 	1.2 	1.1 	1.0 	1.3 	: 	: 
C,GE10,AVG_3Y,LU	0.8 	0.7 	0.6 	0.5 	0.4 	0.4 	0.3 	0.3 	0.3 	: 	: 
C,GE10,AVG_3Y,LV	2.3 	2.1 	1.9 	2.1 	2.0 	2.1 	1.8 	1.6 	1.5 	: 	: 
C,GE10,AVG_3Y,MT	1.9 b	1.9 b	1.9 b	1.6 b	1.9 p	2.3 u	2.8 	2.5 	: 	: 	: 
C,GE10,AVG_3Y,NO	1.2 	1.0 	1.0 	1.2 	1.6 	1.8 	1.7 	: 	: 	: 	: 
C,GE10,AVG_3Y,PL	1.0 	0.8 	0.6 	0.5 	0.4 	0.4 	0.5 	0.5 	: 	: 	: 
C,GE10,AVG_3Y,PT	0.7 	0.6 	0.5 	0.5 	0.4 	0.3 	0.3 	0.3 	0.3 	: 	: 
C,GE10,AVG_3Y,RO	1.4 	1.4 	1.2 	1.1 	0.9 	0.9 	0.8 	0.8 	: 	: 	: 
C,GE10,AVG_3Y,SE	1.8 	1.5 	1.2 	1.0 	1.0 	1.1 	1.1 	0.9 	: 	: 	: 
C,GE10,AVG_3Y,SI	1.7 u	1.4 b	1.0 b	0.8 b	0.6 	0.5 	0.5 	0.4 	0.5 	: 	: 
C,GE10,AVG_3Y,SK	1.0 	0.8 	0.6 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	: 	: 
C,GE10,AVG_A,BE	2.6 	2.3 	1.9 	1.5 	1.4 	1.3 b	1.6 b	: 	: 	: 	: 
C,GE10,AVG_A,BG	0.6 p	0.6 p	0.6 	0.8 	0.5 	0.6 	0.5 	0.5 	0.7 	0.6 	: 
C,GE10,AVG_A,CY	1.9 	1.6 	1.1 	0.7 	0.8 	0.6 	0.7 	1.2 	2.5 	4.5 	: 
C,GE10,AVG_A,CZ	5.3 	3.7 	2.5 	1.8 	0.9 	0.5 	0.7 	0.8 	0.7 	0.8 	3.8 
C,GE10,AVG_A,DE	2.0 	1.6 	1.2 	1.1 	1.1 	1.0 	1.2 	1.3 	: 	: 	: 
C,GE10,AVG_A,DK	1.5 p	1.4 	1.3 	1.1 	1.0 	1.0 	1.0 	1.0 	0.8 	: 	: 
C,GE10,AVG_A,EE	1.5 	2.0 	1.3 	1.2 	1.4 	1.5 	1.2 	1.1 	0.7 	0.4 	2.4 
C,GE10,AVG_A,EL	0.4 	0.3 	0.6 	0.6 	0.5 	: 	0.3 	0.6 	0.5 	1.0 	: 
C,GE10,AVG_A,ES	0.3 p	0.3 	0.3 	0.2 	0.2 	0.3 b	0.2 	0.3 	0.3 	0.2 	: 
C,GE10,AVG_A,FI	1.6 	2.3 	1.4 	1.2 	1.3 	1.0 b	1.6 	1.3 	1.2 	0.7 	: 
C,GE10,AVG_A,FR	1.2 	1.0 	0.7 	0.6 	0.5 	0.5 	0.5 	0.6 	0.3 	0.2 	0.4 
C,GE10,AVG_A,HR	1.4 	1.3 	1.2 b	0.6 	0.6 	0.4 	0.4 	0.4 	0.3 	: 	: 
C,GE10,AVG_A,HU	3.3 p	2.9 	2.4 	1.9 	1.6 	1.3 	1.1 	1.2 	1.2 	0.8 	1.4 
C,GE10,AVG_A,IE	0.8 p	0.6 	0.7 	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.3 	0.4 
C,GE10,AVG_A,IT	1.0 p	0.9 p	0.7 p	0.6 p	0.5 p	0.4 p	0.4 p	0.6 p	0.5 p	0.3 p	0.8 p
C,GE10,AVG_A,LT	1.9 	1.8 	1.3 	1.4 	1.2 	1.3 	1.2 	1.1 	1.0 	0.8 	2.2 
C,GE10,AVG_A,LU	0.9 	0.7 	0.7 	0.7 	0.5 	0.4 	0.4 	0.4 	0.3 	0.2 	0.4 
C,GE10,AVG_A,LV	3.0 	2.2 	1.8 	2.3 	1.7 	2.4 	1.9 	1.9 	1.6 	1.2 	1.6 
C,GE10,AVG_A,MT	1.8 b	1.4 b	2.6 p	1.7 b	1.4 p	1.6 u	2.7 u	2.6 u	3.0 p	1.9 	: 
C,GE10,AVG_A,NO	1.5 	1.1 	0.9 	0.9 	1.3 	1.5 	1.9 	1.9 	1.3 	: 	: 
C,GE10,AVG_A,PL	1.2 	1.1 	0.7 	0.6 	0.5 	0.4 	0.4 	0.5 	0.6 	0.5 	: 
C,GE10,AVG_A,PT	0.8 	0.9 	0.5 	0.5 	0.5 	0.4 	0.3 	0.3 	0.4 	0.3 	0.3 
C,GE10,AVG_A,RO	1.4 	1.4 	1.4 	1.3 	1.0 	1.0 	0.8 	0.9 	0.8 	0.7 	: 
C,GE10,AVG_A,SE	2.0 	1.9 	1.4 	1.1 	1.1 	0.9 	1.0 	1.3 	0.9 	0.5 	: 
C,GE10,AVG_A,SI	1.9 	2.0 u	1.2 u	0.9 b	0.8 	0.5 	0.5 	0.6 	0.5 	0.3 	0.6 
C,GE10,AVG_A,SK	1.2 	1.1 	0.8 	0.6 	0.6 	0.4 	0.5 	0.5 	0.5 	0.3 	1.0 
C,TOTAL,AVG_3Y,AT	1.9 	1.5 	1.2 	1.2 	1.2 	1.3 	1.3 	1.1 	: 	: 	: 
C,TOTAL,AVG_3Y,BE	2.3 	2.0 	1.7 	1.5 b	1.5 b	1.4 	1.2 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,BG	0.6 p	0.7 p	0.6 	0.6 	0.6 	0.5 	0.6 	0.6 	: 	: 	: 
C,TOTAL,AVG_3Y,CH	1.6 	1.3 	1.3 	1.4 	1.5 	1.5 	1.5 	1.3 	1.4 	1.6 	1.9 
C,TOTAL,AVG_3Y,CY	1.4 	1.1 	0.9 	0.6 	0.7 	0.9 	1.5 	2.8 	: 	: 	: 
C,TOTAL,AVG_3Y,CZ	3.9 	2.8 	1.8 	1.1 	0.8 	0.7 	0.8 	0.8 	1.8 	: 	: 
C,TOTAL,AVG_3Y,DE	1.7 	1.5 	1.3 	1.2 	1.2 	1.3 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,DK	1.4 p	1.3 	1.2 	1.1 	1.0 	1.0 	0.9 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,EA	1.4 e	1.1 e	1.0 e	0.9 e	0.9 	0.9 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,EA19	1.4 e	1.1 e	1.0 e	0.9 e	0.9 	0.9 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,EE	1.7 	1.6 	1.4 	1.4 	1.4 	1.3 	1.0 	0.8 	1.2 	: 	: 
C,TOTAL,AVG_3Y,EL	0.6 	0.7 	1.0 	: c	: c	: c	0.8 	1.3 	: 	: 	: 
C,TOTAL,AVG_3Y,ES	0.3 p	0.3 	0.3 	0.3 b	0.3 b	0.3 b	0.3 	0.4 	: 	: 	: 
C,TOTAL,AVG_3Y,EU	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,EU27	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,EU28	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,FI	1.8 	1.6 	1.3 	1.2 b	1.4 b	1.4 b	1.4 	1.2 	: 	: 	: 
C,TOTAL,AVG_3Y,HR	1.4 b	1.1 b	0.8 b	0.5 	0.5 	: 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,HU	2.8 p	2.3 	1.9 	1.5 	1.3 	1.2 	1.1 	1.0 	1.1 	1.3 	1.5 
C,TOTAL,AVG_3Y,IE	0.7 p	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.4 	0.4 	: 	: 
C,TOTAL,AVG_3Y,LT	1.6 	1.5 	1.3 	1.3 	1.2 	1.2 	1.1 	1.0 	1.3 	: 	: 
C,TOTAL,AVG_3Y,LU	0.7 	0.6 	0.6 	0.5 	0.4 	0.3 	0.3 	0.3 	0.3 	: 	: 
C,TOTAL,AVG_3Y,LV	2.3 	2.1 	1.9 	2.0 	1.8 	1.9 	1.7 	1.5 	1.4 	: 	: 
C,TOTAL,AVG_3Y,MK	1.9 	1.9 	1.9 	1.9 	1.8 	: 	: 	: 	: 	: 	: 
C,TOTAL,AVG_3Y,NL	2.3 p	1.8 p	1.5 p	1.3 p	1.2 	1.3 	1.4 	1.3 	1.6 	2.0 	2.4 
C,TOTAL,AVG_3Y,NO	1.2 	1.0 	1.1 	1.3 	1.6 	1.8 	1.8 	1.6 	: 	: 	: 
C,TOTAL,AVG_3Y,PL	1.1 	0.9 	0.7 	0.5 	0.5 	0.5 	0.6 	0.6 	: 	: 	: 
C,TOTAL,AVG_3Y,PT	0.7 	0.6 	0.5 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	: 	: 
C,TOTAL,AVG_3Y,RO	1.4 	1.3 	1.2 	1.1 	0.9 	0.9 	0.8 	0.8 	: 	: 	: 
C,TOTAL,AVG_3Y,SE	1.8 	1.5 	1.2 	1.0 	1.0 	1.1 	1.1 	0.9 	: 	: 	: 
C,TOTAL,AVG_3Y,SI	1.9 u	1.7 b	1.3 b	1.0 b	0.8 	0.7 	0.6 	0.5 	0.5 	: 	: 
C,TOTAL,AVG_3Y,SK	1.1 	0.9 	0.7 	0.6 	0.5 	0.5 	0.5 	0.5 	0.7 	: 	: 
C,TOTAL,AVG_3Y,UK	2.1 p	2.0 	2.0 	1.8 	1.7 	1.6 	1.5 	1.3 	1.4 	1.6 	1.9 
C,TOTAL,AVG_A,AT	2.4 	2.0 	1.3 	1.2 	1.1 	1.2 	1.4 	1.3 	1.4 	0.8 	: 
C,TOTAL,AVG_A,BE	2.6 	2.4 	2.0 	1.7 	1.5 	1.4 b	1.7 b	1.2 	0.8 	: 	: 
C,TOTAL,AVG_A,BG	0.7 p	0.6 p	0.6 	0.8 	0.5 	0.6 	0.5 	0.5 	0.7 	0.6 	: 
C,TOTAL,AVG_A,CH	1.9 	1.5 	1.2 	1.1 	1.5 	1.4 	1.4 	1.7 	1.4 	0.9 	1.9 
C,TOTAL,AVG_A,CY	1.6 	1.4 	1.2 	0.6 	0.8 	0.5 	0.7 	1.4 	2.5 	4.6 	: 
C,TOTAL,AVG_A,CZ	5.4 	3.8 	2.6 	1.9 	1.0 	0.6 	0.7 	0.8 	0.7 	0.9 	3.8 
C,TOTAL,AVG_A,DE	2.1 	1.7 	1.4 	1.3 	1.2 	1.1 	1.3 	1.4 	: 	: 	: 
C,TOTAL,AVG_A,DK	1.5 p	1.4 	1.3 	1.1 	1.1 	1.0 	1.0 	1.0 	0.9 	: 	: 
C,TOTAL,AVG_A,EA	1.6 e	1.4 e	1.1 e	1.0 e	0.9 e	0.8 e	0.9 e	1.0 e	: 	: 	: 
C,TOTAL,AVG_A,EA19	1.6 e	1.4 e	1.1 e	1.0 e	0.9 e	0.8 e	0.9 e	1.0 e	: 	: 	: 
C,TOTAL,AVG_A,EE	1.6 	2.2 	1.4 	1.3 	1.4 	1.5 	1.2 	1.1 	0.8 	0.4 	2.4 
C,TOTAL,AVG_A,EL	0.5 	0.4 	0.8 	1.0 	1.3 	: c	0.4 	1.1 	0.8 	1.9 	: 
C,TOTAL,AVG_A,ES	0.4 p	0.3 	0.3 	0.3 	0.2 	0.4 b	0.3 	0.4 	0.3 	0.5 	: 
C,TOTAL,AVG_A,EU	1.9 	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 e	1.0 	: 	: 	: 
C,TOTAL,AVG_A,EU27	1.9 	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 e	1.0 	: 	: 	: 
C,TOTAL,AVG_A,EU28	1.9 	1.6 	1.3 	1.1 	1.0 	0.9 	0.9 	1.0 e	: 	: 	: 
C,TOTAL,AVG_A,FI	1.7 	2.3 	1.5 	1.2 	1.3 	1.1 b	1.7 	1.4 	1.2 	0.8 	: 
C,TOTAL,AVG_A,HR	1.5 	1.4 	1.3 b	0.6 	0.6 	0.4 	0.5 	: 	: 	: 	: 
C,TOTAL,AVG_A,HU	3.2 p	2.8 	2.3 	1.8 	1.5 	1.2 	1.1 	1.2 	1.1 	0.7 	1.4 
C,TOTAL,AVG_A,IE	0.8 p	0.6 	0.7 	0.6 	0.6 	0.5 	0.6 	0.5 	0.5 	0.3 	0.4 
C,TOTAL,AVG_A,LT	1.8 	1.8 	1.3 	1.4 	1.2 	1.2 	1.2 	1.1 	0.9 	0.8 	2.2 
C,TOTAL,AVG_A,LU	0.9 	0.6 	0.6 	0.7 	0.4 	0.3 	0.3 	0.3 	0.3 	0.1 	0.3 
C,TOTAL,AVG_A,LV	2.9 	2.3 	1.9 	2.2 	1.6 	2.1 	1.8 	1.8 	1.5 	1.2 	1.5 
C,TOTAL,AVG_A,MK	2.0 	2.1 	1.6 	1.9 	2.1 	1.6 	1.6 	: 	: 	: 	: 
C,TOTAL,AVG_A,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
C,TOTAL,AVG_A,NL	2.8 p	2.2 p	1.7 p	1.5 p	1.3 	1.0 	1.2 	1.7 	1.3 	0.9 	2.5 
C,TOTAL,AVG_A,NO	1.6 	1.2 	0.9 	1.0 	1.3 	1.6 	2.0 	1.9 	1.4 	: c	: 
C,TOTAL,AVG_A,PL	1.3 	1.1 	0.8 	0.6 	0.6 	0.4 	0.5 	0.6 	0.7 	0.6 	: 
C,TOTAL,AVG_A,PT	0.8 	0.9 	0.5 	0.5 	0.5 	0.3 	0.2 	0.3 	0.3 	0.2 	0.4 
C,TOTAL,AVG_A,RO	1.4 	1.3 	1.4 	1.2 	1.0 	0.9 	0.8 	0.9 	0.8 	0.7 	: 
C,TOTAL,AVG_A,SE	2.0 	1.9 	1.4 	1.1 	1.1 	0.9 	1.0 	1.4 	1.0 	0.5 	: 
C,TOTAL,AVG_A,SI	2.0 	2.2 	1.6 u	1.2 b	1.1 	0.7 	0.6 	0.7 	0.5 	0.4 	0.6 
